Brand=["KovaScape"],Reporting Range=["Weekly"],Select week=["Week 17 | 2026-04-19 - 2026-04-25 2026"]
"Search Query","Search Query Score","Search Query Volume","Impressions: Total Count","Impressions: Brand Count","Impressions: Brand Share %","Clicks: Total Count","Clicks: Click Rate %","Clicks: Brand Count","Clicks: Brand Share %","Clicks: Price (Median)","Clicks: Brand Price (Median)","Clicks: Same Day Shipping Speed","Clicks: 1D Shipping Speed","Clicks: 2D Shipping Speed","Cart Adds: Total Count","Cart Adds: Cart Add Rate %","Cart Adds: Brand Count","Cart Adds: Brand Share %","Cart Adds: Price (Median)","Cart Adds: Brand Price (Median)","Cart Adds: Same Day Shipping Speed","Cart Adds: 1D Shipping Speed","Cart Adds: 2D Shipping Speed","Purchases: Total Count","Purchases: Purchase Rate %","Purchases: Brand Count","Purchases: Brand Share %","Purchases: Price (Median)","Purchases: Brand Price (Median)","Purchases: Same Day Shipping Speed","Purchases: 1D Shipping Speed","Purchases: 2D Shipping Speed","Reporting Date"
"live edge wall mount shelves","342","12","225","40","17.78","7","58.33","1","14.29","80.99","131.99","0","5","0","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-25"
"wall shelf unit 11"" depth","767","9","171","5","2.92","7","77.78","1","14.29","22.99",,"0","0","0","1","11.11","0","0.0","27.99",,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-25"
"22x28 white frame","638","46","1139","8","0.7","39","84.78","1","2.56","34.99","64.99","0","8","14","20","43.48","0","0.0","34.99",,"0","6","9","6","13.04","0","0.0","29.99",,"0","1","4","2026-04-25"
"floating shelves for collectibles","605","44","1057","9","0.85","16","36.36","1","6.25","26.99","26.99","2","4","3","2","4.55","0","0.0","16.14",,"0","1","0","1","2.27","0","0.0","19.99",,"0","0","0","2026-04-25"
"heavy duty floating shelves for storage wall mounted for kitchen","279","16","402","33","8.21","5","31.25","2","40.0","50.43","27.15","0","0","1","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-25"
"16w x 12d shelves","629","6","180","8","4.44","5","83.33","1","20.0","25.99","26.18","0","0","0","1","16.67","0","0.0","23.95",,"0","0","0","1","16.67","0","0.0","23.95",,"0","0","0","2026-04-25"
"11 x 14 picture frame detail","185","7","156","2","1.28","4","57.14","1","25.0","16.95","20.99","0","3","0","1","14.29","1","100.0","20.99","20.99","0","1","0","0","0.0","0",,,,"0","0","0","2026-04-25"
"18x24 walnut frame","957","80","1967","2","0.1","56","70.0","1","1.79","36.99","28.99","0","12","25","17","21.25","0","0.0","34.29",,"0","3","12","8","10.0","0","0.0","28.49",,"0","1","6","2026-04-25"
"16 x 24 inch frame","27","91","2403","4","0.17","41","45.05","1","2.44","24.35","45.99","0","13","13","9","9.89","1","11.11","29.99","45.99","0","3","2","3","3.3","1","33.33","25.49","45.99","0","1","1","2026-04-25"
"clear picture frames","470","771","22208","16","0.07","257","33.33","1","0.39","16.99","20.99","30","127","57","77","9.99","0","0.0","11.89",,"12","38","18","22","2.85","0","0.0","11.89",,"5","11","5","2026-04-25"
"floating solid wood shelves for wall 22 inches","518","35","772","13","1.68","30","85.71","1","3.33","64.99","112.99","0","0","13","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-25"
"4 x6 frames","670","20","567","7","1.23","11","55.0","1","9.09","12.99","12.99","5","3","1","7","35.0","0","0.0","9.99",,"3","3","1","3","15.0","0","0.0","8.99",,"1","2","0","2026-04-25"
"floating shelves kitchen heavy duty","504","77","2124","14","0.66","37","48.05","1","2.7","44.99","28.99","1","8","13","6","7.79","0","0.0","44.99",,"0","1","2","1","1.3","0","0.0","99.99",,"0","0","1","2026-04-25"
"24 by 8 shelves for bathroom","537","3","180","12","6.67","4","133.33","1","25.0","89.99","89.99","0","0","0","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-25"
